4  7.42451	1.196663e-01	2.151347e-02	6.799594e+01	1.007424e+02	3.053561e-01	6.945534e-01	
2  7.76844	1.174780e-01	2.148298e-02	6.830287e+01	1.016241e+02	2.978619e-01	7.020484e-01	
1  8.14788	1.162393e-01	2.151376e-02	6.852431e+01	1.021607e+02	2.933676e-01	7.065433e-01	
3  7.73957	1.174061e-01	2.176190e-02	6.752148e+01	1.002593e+02	3.052498e-01	6.946584e-01	
7  7.47846	1.178145e-01	2.142408e-02	6.770361e+01	1.007164e+02	3.037638e-01	6.961449e-01	
3  9.23108	1.171813e-01	2.137188e-02	6.876616e+01	1.024567e+02	2.929996e-01	7.069119e-01	
1  11.2654	1.165674e-01	2.141056e-02	6.558211e+01	9.779342e+01	3.208035e-01	6.790993e-01	
1  10.8519	1.115554e-01	2.139990e-02	6.524516e+01	9.820818e+01	3.123265e-01	6.875752e-01	
1  8.53565	1.100408e-01	2.140206e-02	6.582634e+01	9.936445e+01	3.033455e-01	6.965579e-01	
6  8.21313	1.100031e-01	2.124966e-02	6.648665e+01	1.004882e+02	2.969201e-01	7.029852e-01	
3  8.60403	1.119399e-01	2.120071e-02	6.676632e+01	1.005818e+02	2.986727e-01	7.012334e-01	
5  8.03581	1.106402e-01	2.129785e-02	6.641761e+01	1.002252e+02	2.990911e-01	7.008140e-01	
3  7.89494	1.060507e-01	2.137828e-02	6.582131e+01	1.001352e+02	2.941273e-01	7.057762e-01	
1  7.39932	1.025727e-01	2.137839e-02	6.594626e+01	1.010058e+02	2.850165e-01	7.148873e-01	
2  6.96949	1.022335e-01	2.152146e-02	6.607545e+01	1.011562e+02	2.834540e-01	7.164502e-01	
2  6.92928	1.040382e-01	2.152875e-02	6.619142e+01	1.009715e+02	2.865972e-01	7.133073e-01	
1  7.049	1.054946e-01	2.142611e-02	6.688320e+01	1.018215e+02	2.837255e-01	7.161810e-01	
2  8.94947	1.039788e-01	2.151642e-02	6.801025e+01	1.037681e+02	2.713180e-01	7.285916e-01	
