3  2.10485	1.374622e-01	2.153505e-02	6.970058e+01	1.001047e+02	3.272780e-01	6.726359e-01	
1  2.14832	1.368065e-01	2.165797e-02	6.960545e+01	9.998621e+01	3.270736e-01	6.728401e-01	
2  3.3783	1.387383e-01	2.149166e-02	7.056582e+01	1.011644e+02	3.217769e-01	6.781391e-01	
4  3.01717	1.353703e-01	2.147075e-02	7.004650e+01	1.010047e+02	3.196589e-01	6.802558e-01	
1  2.82553	1.297066e-01	2.149722e-02	6.771995e+01	9.858029e+01	3.297080e-01	6.702008e-01	
2  2.24003	1.283234e-01	2.152744e-02	6.877883e+01	1.003393e+02	3.167740e-01	6.831375e-01	
5  7.35276	1.292972e-01	2.135464e-02	7.071502e+01	1.031246e+02	3.012666e-01	6.986497e-01	
1  3.42591	1.310824e-01	2.124415e-02	6.892127e+01	1.002830e+02	3.206779e-01	6.792341e-01	
1  3.56009	1.310197e-01	2.134955e-02	6.960128e+01	1.012026e+02	3.145305e-01	6.853832e-01	
2  2.16379	1.296787e-01	2.153993e-02	6.833233e+01	9.944443e+01	3.238567e-01	6.760537e-01	
3  2.85479	1.304295e-01	2.133715e-02	6.809081e+01	9.911640e+01	3.273402e-01	6.725696e-01	
1  3.63155	1.259700e-01	2.183200e-02	6.778066e+01	9.906194e+01	3.217131e-01	6.781958e-01	
1  2.55368	1.291882e-01	2.164242e-02	6.800980e+01	9.898249e+01	3.260969e-01	6.738127e-01	
3  2.98947	1.285856e-01	2.169348e-02	6.779131e+01	9.872960e+01	3.270020e-01	6.729070e-01	
1  2.93952	1.284573e-01	2.173745e-02	6.797262e+01	9.898285e+01	3.250773e-01	6.748321e-01	
4  2.68271	1.341756e-01	2.148871e-02	6.808126e+01	9.835645e+01	3.358411e-01	6.640686e-01	
2  2.43297	1.301955e-01	2.151321e-02	6.920839e+01	1.006498e+02	3.167327e-01	6.831799e-01	
2  2.36504	1.286379e-01	2.156385e-02	6.901941e+01	1.006075e+02	3.153062e-01	6.846060e-01	
4  2.64497	1.300978e-01	2.171446e-02	6.821945e+01	9.907784e+01	3.262048e-01	6.737053e-01	
2  2.34969	1.300402e-01	2.154852e-02	6.809873e+01	9.903617e+01	3.268803e-01	6.730295e-01	
